C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2022/10/20,00:00:09,0000000373215173,DISPATCHSCADA,0000000373215167
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LGAPWF1,48.57
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LGAPWF2,18.41
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LILYSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LIMOSF11,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LIMOSF21,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LI_WY_CA,55.746530
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LKBONNY1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LKBONNY2,30.783540
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LKBONNY3,8.038380
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LK_ECHO,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LNGS1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LNGS2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LONSDALE,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LOYYB1,490.974670
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LOYYB2,491.726590
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LYA1,556
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LYA2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LYA3,554
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LYA4,555
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MACARTH1,44.598970
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MACKNTSH,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MANSLR1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MAPS2PV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MAPS3PV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MARYRSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MBPS2PV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MCKAY1,0.02
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MEADOWBK,11.889280
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MERCER01,36
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",METZSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MEWF1,28.585990
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MIDDLSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MINTARO,0.128180
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MOLNGSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MOORAWF1,72.600010
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MOREESF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MORTLK11,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MORTLK12,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MOUSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MP1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MP2,298.161290
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MPP_1,149.739520
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MPP_2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MRTLSWF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MSTUART1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MSTUART2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MSTUART3,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MTGELWF1,1.872310
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MTMILLAR,12
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MURRAY,56.40
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MUSSELR1,65.60
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MUWAWF1,163.52
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MUWAWF2,182.399990
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MWPS1PV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MWPS2PV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MWPS3PV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MWPS4PV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",NBHWF1,93.100010
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",NEVERSF1,0
