C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2023/07/22,02:00:01,0000000392649909,,0000000392649908
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",21,6115
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",22,5813
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",23,5544
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",24,5268
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",25,5051
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",26,4996
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",27,5072
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",28,5045
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",29,5070
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",30,5202
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",31,5388
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",32,5682
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",33,6057
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",34,6463
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",35,6790
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",36,7202
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",37,7354
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",38,7271
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",39,7172
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",40,7082
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",41,6921
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",42,6767
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",43,6607
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",44,6437
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",45,6202
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",46,5941
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",47,5925
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",48,5799
C,"END OF REPORT",243
